 [DEBUG] 2019-02-26 22:03:01,615 [9] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-26 22:03:02,690 [9] MAuthAPI.Controllers.AuthorizationController - GetStationList - Entered intoGet Stattion List
 [DEBUG] 2019-02-27 10:58:04,591 [6] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 10:58:04,728 [6] MAuthAPI.Controllers.AuthorizationController - GetStationList - Entered intoGet Stattion List
 [DEBUG] 2019-02-27 10:59:12,233 [6] MAuthAPI.CommonExceptionHandler - MoveNext - Exeception path is D:\Code\FP.Authorization\APInet\MAuthAPI\MAuthAPI\ErrorLog
 [ERROR] 2019-02-27 10:59:12,234 [6] MAuthAPI.CommonExceptionHandler - MoveNext - Exeception   is A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)
 [DEBUG] 2019-03-01 11:00:05,908 [5] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:00:06,047 [5] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 11:01:07,421 [8] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:01:07,550 [8] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 11:01:08,517 [6] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:01:08,518 [6] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 11:01:12,208 [7] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:01:12,230 [11] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:01:12,401 [11] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code M011019717          
 [DEBUG] 2019-03-01 11:01:18,210 [11] MAuthAPI.Controllers.AuthorizationController - Validate - Status Invalid
 [DEBUG] 2019-03-01 11:11:12,851 [5] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:11:12,943 [6] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:11:13,185 [6] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code M011019717
 [DEBUG] 2019-03-01 11:11:13,415 [6] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 11:11:13,415 [6] MAuthAPI.Controllers.AuthorizationController - Validate - Type  MEMBERTYPE
 [DEBUG] 2019-03-01 11:24:27,631 [6] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:24:27,648 [19] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:24:27,650 [19] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code M011019717
 [DEBUG] 2019-03-01 11:24:27,812 [19] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 11:24:27,813 [19] MAuthAPI.Controllers.AuthorizationController - Validate - Type  MEMBERTYPE
 [DEBUG] 2019-03-01 11:29:31,940 [15] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:29:31,945 [15] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 11:29:35,053 [15] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:29:35,064 [15] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:29:35,065 [15] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code M011019717
 [DEBUG] 2019-03-01 11:29:35,364 [15] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 11:29:35,365 [15] MAuthAPI.Controllers.AuthorizationController - Validate - Type  MEMBERTYPE
